,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,857,652.1545832369578,8.163177990994882
1,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,1430,504.2477746676396,12.445755665001343
2,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,1492,636.8923231949426,13.607295804999012
3,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,243,389.52252640457965,2.3773972330018296
4,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,300,529.3779791756999,2.7702180609994684
5,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,293,452.1369490399101,3.204952216001402
6,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,False,,,35.45091703900107
7,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,571,569.8809058963885,5.4381912860044395
8,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,896,575.4422969932926,8.067227016996185
9,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,812,514.2095690102228,6.356136408998282
10,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,317,560.5338935085492,3.02245746999688
11,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,1594,549.202503704849,13.994594103001873
12,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,False,,,19.317101672997524
13,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,683,651.2248463748892,6.485024578003504
14,46.0,14.5,35.5,43.0,30.37268509697488,3.0,0.3,True,850,454.46098693528006,8.043589023996901
