,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,906,422.0316598590908,8.67359849800414
1,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,209,416.32146188185635,1.9845084260014119
2,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,124,443.22238091570637,1.2599905889946967
3,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,1277,517.431956983143,14.435746481001843
4,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,548,567.3630331154167,4.894201639996027
5,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,272,408.31699719769904,2.6197359720026725
6,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,594,447.2797528470602,5.5660372549973545
7,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,384,395.65851920654677,3.6277726109983632
8,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,669,406.525804245582,5.427434535995417
9,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,216,476.317743580414,1.7626017959992168
10,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,164,487.082464760231,1.6307266770018032
11,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,403,527.3609133361882,3.977994884000509
12,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,False,,,26.649650162995385
13,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,360,380.968980001277,3.507366000005277
14,47.0,2.5,22.0,20.5,30.805843601498726,3.0,0.3,True,302,390.09959048674045,3.089085278996208
