,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,sample_options,finished,iter_count,final_distance
8,12.717221600000002,47.3244336,10.0005564,11.3544415,36.0724354803353,3.0,0.5,1,True,1126,374.7229718017765
9,23.8766673,27.269991299999997,45.6005441,6.465555199999999,30.079085502397863,3.0,0.5,1,True,1820,374.9105475894563
10,12.717221600000002,47.3244336,23.9211119,10.803329999999999,38.201023101696734,3.0,0.5,1,False,,
11,9.778334300000001,32.3544348,4.178335199999999,30.04888,6.056036067908106,3.0,0.5,1,True,624,113.6927802755728
12,48.5616536,19.013331899999997,45.6005441,6.465555199999999,12.892434587154323,3.0,0.5,1,True,536,177.49693004922648
13,7.148333600000001,10.0200008,44.911655300000014,45.5099863,51.82284763121284,3.0,0.5,1,True,571,547.96237547557
14,4.756112699999999,20.248883,1.2461110999999998,42.57221319999999,22.597592403843255,3.0,0.5,1,False,,
15,42.05943239999999,44.1755455,4.4005573,9.0488867,51.49828183783433,3.0,0.5,1,True,205,532.6935799466075
16,37.2460987,3.1722266,23.876667500000003,36.314433500000014,35.73720146869284,3.0,0.5,1,False,,
17,2.0016664000000004,19.2611093,12.894999299999997,33.8133267,18.177781298252132,3.0,0.5,1,True,1133,119.78777775764385
18,6.9261114,31.019994000000008,39.8449895,15.248885199999997,36.501786369218934,3.0,0.5,1,False,,
19,10.356111899999998,22.554437899999996,13.472776900000001,24.013329700000003,3.441215774451274,3.0,0.5,1,True,389,33.32512273143103
20,23.9211119,10.803329999999999,40.000545,4.1600003,17.397758428035427,3.0,0.5,1,True,1321,155.40576155565884
21,13.117221400000002,12.813333399999998,23.876667500000003,36.314433500000014,25.84699956066518,3.0,0.5,1,False,,
22,6.748333800000001,44.531101,39.8449895,15.248885199999997,44.19091287450524,3.0,0.5,1,False,,
23,13.117221400000002,12.813333399999998,23.832222899999998,22.2699928,14.291244317854572,3.0,0.5,1,True,5,45.598939333430586
24,23.832222899999998,22.2699928,1.6461109999999999,8.061113,26.346078008124273,3.0,0.5,1,False,,
25,37.2460987,3.1722266,13.472776900000001,24.013329700000003,31.615224304616042,3.0,0.5,1,False,,
26,37.0905432,14.2611115,40.000545,4.1600003,10.511924559792499,3.0,0.5,1,True,7,24.24228217183466
27,45.6005441,6.465555199999999,1.6461109999999999,8.061113,43.98338315586372,3.0,0.5,1,False,,
28,23.898890499999997,43.71443030000001,1.2461110999999998,42.57221319999999,22.68155802515772,3.0,0.5,1,True,460,407.1933606625579
29,39.8449895,15.248885199999997,39.31165610000001,43.204431400000004,27.960633180525264,3.0,0.5,1,True,78,395.3535140571679
30,37.2460987,3.1722266,23.898889600000008,24.8033253,25.417561286013736,3.0,0.5,1,False,,
31,23.787778600000003,3.4255547,42.65943239999999,30.3311058,32.86408369545339,3.0,0.5,1,True,165,371.18587408663115
32,6.748333800000001,44.531101,23.810000900000002,33.78110100000001,20.165886646295082,3.0,0.5,1,False,,
33,45.44498870000001,17.55444,6.748333800000001,44.531101,47.17172181676874,3.0,0.5,1,True,381,571.5699710255802
34,1.2461110999999998,42.57221319999999,23.8544452,5.9588871999999995,43.03106333289358,3.0,0.5,1,False,,
35,23.787778600000003,3.4255547,23.8544452,5.9588871999999995,2.53420953970105,3.0,0.5,1,True,9,38.63741028733722
36,42.05943239999999,44.1755455,23.9433349,48.71442879999999,18.676039468809353,3.0,0.5,1,False,,
37,10.0005564,11.3544415,39.9116561,29.359991799999996,34.91237211747678,3.0,0.5,1,True,653,504.78984172080453
38,45.51165530000001,31.665546599999995,23.8766673,27.269991299999997,22.076992824103158,3.0,0.5,1,True,45,317.1651874737954
39,23.898889600000008,24.8033253,23.9211119,10.803329999999999,14.000012936802575,3.0,0.5,1,False,,
40,37.2460987,3.1722266,4.4005573,9.0488867,33.367120400029215,3.0,0.5,1,False,,
41,10.0005564,11.3544415,13.472776900000001,24.013329700000003,13.126452897135598,3.0,0.5,1,True,9,35.82583491948359
42,6.748333800000001,44.531101,48.628320300000006,33.124438500000004,43.40558971640736,3.0,0.5,1,True,501,445.9021075650746
43,39.9116561,29.359991799999996,36.557209799999995,42.2166577,13.28706769922569,3.0,0.5,1,True,5,43.13637937142576
44,4.4005573,9.0488867,1.4238888,29.0611063,20.232387122569506,3.0,0.5,1,False,,
45,23.9211119,10.803329999999999,23.898890499999997,43.71443030000001,32.91110780188475,3.0,0.5,1,True,564,356.4238901304281
46,12.894999299999997,33.8133267,39.8449895,15.248885199999997,32.72522666059042,3.0,0.5,1,True,1106,429.66412487960014
47,12.717221600000002,47.3244336,37.157209800000004,28.3722181,30.927326033373454,3.0,0.5,1,True,76,319.3047546074034
48,23.8766673,27.269991299999997,23.787778600000003,3.4255547,23.844602281699043,3.0,0.5,1,False,,
49,12.717221600000002,47.3244336,23.832222899999998,22.2699928,27.40927320633851,3.0,0.5,1,False,,
50,23.965557099999998,46.2477628,6.9261114,31.019994000000008,22.852300811723566,3.0,0.5,1,True,113,146.30516884684707
51,23.787778600000003,3.4255547,42.65943239999999,30.3311058,32.86408369545339,3.0,0.5,1,True,230,185.1844496731404
52,48.628320300000006,33.124438500000004,7.148333600000001,10.0200008,47.480568004872886,3.0,0.5,1,False,,
53,9.778334300000001,32.3544348,4.4005573,9.0488867,23.9179651664422,3.0,0.5,1,False,,
54,37.0905432,14.2611115,45.44498870000001,17.55444,8.980132082624547,3.0,0.5,1,True,753,163.0577867237443
55,36.557209799999995,42.2166577,48.717209100000005,7.924446999999999,36.38435512234888,3.0,0.5,1,False,,
56,23.898889600000008,24.8033253,7.148333600000001,10.0200008,22.341168491854596,3.0,0.5,1,True,73,114.45720373719213
57,39.31165610000001,43.204431400000004,10.356111899999998,22.554437899999996,35.56467027076445,3.0,0.5,1,True,53,381.53132556558165
58,1.6461109999999999,8.061113,42.05943239999999,44.1755455,54.198604976297624,3.0,0.5,1,False,,
59,1.4238888,29.0611063,23.876667500000003,36.314433500000014,23.595296709756244,3.0,0.5,1,True,90,154.69978428733137
60,23.832222999999995,8.425553200000001,23.965557099999998,46.2477628,37.82244461967728,3.0,0.5,1,False,,
61,42.592765799999995,16.219999299999998,23.832222999999995,8.425553200000001,20.315298574139565,3.0,0.5,1,True,28,278.3130361506202
62,39.8449895,15.248885199999997,45.6005441,6.465555199999999,10.501109210101625,3.0,0.5,1,True,5,27.824111306111575
