,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,24,166.24029759985177,0.4243344420028734
1,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,44,29.23926906796706,0.5696653519989923
2,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,7,62.01533571566111,0.21353407399874413
3,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,28,109.12137114104092,0.38227324499894166
4,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,193,128.50805670532395,1.7867724059979082
5,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,984,76.27136979838417,8.67426964599872
6,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,291,74.88834018631246,2.468759631003195
7,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,12,34.569623722266776,0.2580609359938535
8,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,237,19.619060806282928,2.0675792670008377
9,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,26,131.42169578390636,0.39519201700022677
10,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,396,415.7923860729722,3.7292345279929577
11,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,20,102.20211719448234,0.30660824599908665
12,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,11,55.79020111969681,0.25596435000625206
13,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,15,71.62156363775696,0.2968031400014297
14,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,19,18.10400926272198,0.350062210993201
