,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,395,69.6516492685263,3.8072896459998447
1,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,9,47.85801201090277,0.24390408000181196
2,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,14,89.20787501977414,0.2713829159984016
3,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,18,38.4905360686439,0.31734528399829287
4,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,15,113.9926729079115,0.3540603599976748
5,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,19,113.60365860452818,0.30325089700636454
6,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,19,71.65094057699909,0.3081204360059928
7,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,37,169.40549786729932,0.4530261079999036
8,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,21,137.80097988380723,0.31896113499533385
9,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,14,85.160618240017,0.29195597999932943
10,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,61,53.164791201901885,0.7116555810061982
11,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,9,58.37686614709351,0.3149847679960658
12,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,33,94.4997974278555,0.3569974310012185
13,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,9,125.54592952008777,0.2450385810006992
14,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,207,74.66986453660508,2.06688417600526
