,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,43,42.19910614691464,0.6378304539975943
1,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,27,80.42123240135459,0.4118206849962007
2,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,70,103.6128164788855,0.8301617540055304
3,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,11,58.1754962458334,0.3062806579982862
4,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,21,43.43948344838388,0.3721861550002359
5,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,24,76.31705868616643,0.4280402049989789
6,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,8,81.13760569672164,0.29963325599965174
7,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,39,104.91309343899283,0.4811828219972085
8,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,549,449.88314003433084,5.222559751004155
9,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,29,137.0141940381491,0.5217897799957427
10,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,13,65.00402729198206,0.31338194800628116
11,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,23,56.720279068363574,0.37586495299910894
12,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,12,51.432481156658135,0.27435484899615403
13,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,58,72.87094804910713,0.6740342199991574
14,46.0,14.5,43.0,20.5,6.708203932499369,3.0,0.3,True,28,104.75268290746757,0.41094995000457857
