,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance
21,42.592765799999995,16.219999299999998,4.0005575,43.559986900000006,47.295173785902755,5.0,0.5,True,659,66.71145267026132
22,37.0905432,14.2611115,23.876667500000003,36.314433500000014,25.709055257841253,5.0,0.5,False,,
23,36.557209799999995,42.2166577,37.2460987,3.1722266,39.050507907570044,5.0,0.5,True,92,48.6188180376043
24,23.8766673,27.269991299999997,4.756112699999999,20.248883,20.368887303235542,5.0,0.5,True,253,38.54149956900706
25,48.02832029999999,46.96887810000001,4.756112699999999,20.248883,50.85707510977722,5.0,0.5,True,485,72.86760639622716
26,4.178335199999999,30.04888,4.4005573,9.0488867,21.001169045121593,5.0,0.5,False,,
27,23.898889600000008,24.8033253,6.748333800000001,44.531101,26.140518325358897,5.0,0.5,True,366,37.994546125869
28,39.8449895,15.248885199999997,45.51165530000001,31.665546599999995,17.367149242496296,5.0,0.5,True,249,28.494777678929747
29,6.9261114,31.019994000000008,6.748333800000001,44.531101,13.51227653804164,5.0,0.5,True,10,12.999997898167955
30,23.898890499999997,43.71443030000001,10.356111899999998,22.554437899999996,25.12274130298436,5.0,0.5,True,196,40.47423923407818
31,23.8766673,27.269991299999997,23.8544452,5.9588871999999995,21.311115686016187,5.0,0.5,True,1626,57.43126417569386
32,10.0005564,11.3544415,1.2461110999999998,42.57221319999999,32.422053951346335,5.0,0.5,True,1294,83.69344791750316
33,40.000545,4.1600003,45.44498870000001,17.55444,14.458664602217102,5.0,0.5,True,129,40.98982305943083
34,40.000545,4.1600003,10.0005564,11.3544415,30.850596431517943,5.0,0.5,True,313,66.37825816121769
35,39.9116561,29.359991799999996,42.592765799999995,16.219999299999998,13.410732721350099,5.0,0.5,True,20,12.499554770053912
36,23.832222899999998,22.2699928,23.965557099999998,46.2477628,23.978140715697485,5.0,0.5,True,171,50.06269240387355
37,48.5616536,19.013331899999997,4.0005575,43.559986900000006,50.87464552527576,5.0,0.5,True,477,59.277941659930825
38,23.810000900000002,33.78110100000001,36.557209799999995,42.2166577,15.285612568005046,5.0,0.5,True,17,15.99708800350456
39,45.6005441,6.465555199999999,23.832222999999995,8.425553200000001,21.856381120229155,5.0,0.5,True,1065,70.72161524259452
40,36.557209799999995,42.2166577,48.628320300000006,33.124438500000004,15.112251939537636,5.0,0.5,True,92,16.03314674867714
41,13.472776900000001,24.013329700000003,23.810000900000002,33.78110100000001,14.222079882889133,5.0,0.5,True,11,23.129433628371565
42,42.65943239999999,30.3311058,23.965557099999998,46.2477628,24.552004883259507,5.0,0.5,True,124,47.618892042769524
43,13.472776900000001,24.013329700000003,48.5616536,19.013331899999997,35.443324421783686,5.0,0.5,True,82,38.993931540237526
44,12.894999299999997,33.8133267,39.31165610000001,43.204431400000004,28.036273004366134,5.0,0.5,True,525,77.18549076723586
45,37.2460987,3.1722266,23.854445300000002,38.781099499999996,38.043767032118225,5.0,0.5,True,301,56.886924189187994
46,23.810000900000002,33.78110100000001,44.911655300000014,45.5099863,24.14221549066274,5.0,0.5,True,116,41.922988988394096
47,10.0005564,11.3544415,23.8544452,5.9588871999999995,14.867489400938341,5.0,0.5,True,88,30.513675773853503
48,23.9211119,10.803329999999999,4.4005573,9.0488867,19.5992378215199,5.0,0.5,True,384,32.921470202193724
49,48.02832029999999,46.96887810000001,36.557209799999995,42.2166577,12.416520238512334,5.0,0.5,True,35,23.67018968065255
50,45.51165530000001,31.665546599999995,42.7483213,5.1311143999999995,26.677932959132214,5.0,0.5,True,553,63.490951257271924
51,23.898890499999997,43.71443030000001,12.717221600000002,47.3244336,11.749972051679013,5.0,0.5,True,88,38.48772840995924
52,45.44498870000001,17.55444,23.9433349,48.71442879999999,37.85849994586658,5.0,0.5,False,,
53,23.898890499999997,43.71443030000001,37.157209800000004,28.3722181,20.277241080841886,5.0,0.5,True,53,28.061770336180107
54,23.898890499999997,43.71443030000001,13.117221400000002,12.813333399999998,32.72800296695607,5.0,0.5,True,68,34.99068848277244
55,23.965557099999998,46.2477628,1.6461109999999999,8.061113,44.230960843719465,5.0,0.5,True,670,75.22705705991264
56,1.4238888,29.0611063,23.898890499999997,43.71443030000001,26.82993860716008,5.0,0.5,True,174,37.49281975343341
57,40.000545,4.1600003,13.472776900000001,24.013329700000003,33.13422956147136,5.0,0.5,True,85,35.48953575095494
58,9.778334300000001,32.3544348,39.8449895,15.248885199999997,34.591958343432175,5.0,0.5,True,147,52.83781195549638
59,9.600556600000003,45.8655417,1.2461110999999998,42.57221319999999,8.980132082624543,5.0,0.5,True,266,30.690525539670574
60,45.51165530000001,31.665546599999995,23.876667500000003,36.314433500000014,22.128823884588645,5.0,0.5,True,44,28.91348963288364
61,40.000545,4.1600003,7.503888999999999,21.2199971,36.70253590691448,5.0,0.5,True,164,51.52196237815668
62,23.787778600000003,3.4255547,42.65943239999999,30.3311058,32.86408369545339,5.0,0.5,True,251,42.243487890267694
63,23.832222999999995,8.425553200000001,36.557209799999995,42.2166577,36.10767276341822,5.0,0.5,True,94,42.99301320657772
64,6.748333800000001,44.531101,23.8766673,27.269991299999997,24.317189734067885,5.0,0.5,True,98,24.795532409134708
65,1.4238888,29.0611063,42.65943239999999,30.3311058,41.25509610602671,5.0,0.5,True,533,70.2283719289932
66,23.965557099999998,46.2477628,23.9211119,10.803329999999999,35.44446066580107,5.0,0.5,True,247,62.016955535407526
67,2.0016664000000004,19.2611093,1.4238888,29.0611063,9.817014217931577,5.0,0.5,True,1,8.999894664502119
68,39.9116561,29.359991799999996,1.4238888,29.0611063,38.48892781412675,5.0,0.5,True,1480,70.0873468882152
69,23.965556299999996,15.8033285,23.854445300000002,38.781099499999996,22.97803964185722,5.0,0.5,True,443,57.92084115792592
70,4.178335199999999,30.04888,2.0016664000000004,19.2611093,11.005175316216999,5.0,0.5,True,8,10.499385381650498
71,9.778334300000001,32.3544348,48.02832029999999,46.96887810000001,40.9468360434492,5.0,0.5,True,1029,79.6546662930256
72,9.778334300000001,32.3544348,12.717221600000002,47.3244336,15.255750477577388,5.0,0.5,True,22,14.499511829209492
73,23.832222899999998,22.2699928,6.748333800000001,44.531101,28.060937352006007,5.0,0.5,True,174,50.51268998079714
74,44.911655300000014,45.5099863,42.05943239999999,44.1755455,3.1489534324897828,5.0,0.5,True,3,5.039685022596581
